,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,120.55,7.70,  138.95 ,10.85,  12.51 ,NA,,NA,,,1.01,1.12,11.00%,9.20%,1.80%
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,120.55,7.76,  139.69 ,10.91,  12.65 ,NA,,NA,,,1.01,1.12,10.48%,9.17%,1.31%
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,111.33,7.82,  129.77 ,10.98,  12.79 ,NA,,NA,,,1.01,1.13,11.59%,9.26%,2.33%
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,103.99,8.07,  122.00 ,11.29,  13.25 ,NA,,NA,,,1.01,1.16,12.02%,8.99%,3.04%
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,103.48,8.39,  122.21 ,11.72,  13.84 ,NA,,NA,,,1.01,1.21,12.34%,8.73%,3.61%
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,110.56,8.25,  131.39 ,11.51,  13.67 ,NA,,NA,,,1.01,1.18,11.23%,8.85%,2.37%
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,114.77,8.13,  137.20 ,11.33,  13.54 ,NA,,NA,,,1.01,1.17,10.47%,9.00%,1.47%
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,118.22,8.13,  142.13 ,11.33,  13.62 ,NA,,NA,,,1.01,1.18,10.43%,8.96%,1.47%
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,116.49,8.13,  140.87 ,11.33,  13.70 ,NA,,NA,,,1.01,1.19,10.54%,8.92%,1.62%
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,115.06,8.25,  139.97 ,11.51,  14.00 ,NA,,NA,,,1.01,1.22,10.39%,8.95%,1.44%
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,112.94,8.32,  138.23 ,11.60,  14.19 ,NA,,NA,,,1.01,1.23,9.89%,9.06%,0.84%
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,115.16,8.52,  141.82 ,11.88,  14.63 ,NA,,NA,,,1.01,1.27,9.22%,8.76%,0.46%
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,114.24,8.45,  141.55 ,11.78,  14.60 ,NA,,NA,,,1.01,1.27,9.43%,8.93%,0.50%
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,115.42,8.52,  143.89 ,11.88,  14.81 ,NA,,NA,,,1.01,1.29,9.98%,8.81%,1.17%
